time;lat;lon;60min_starnet;60min_earth;vulnerability;radarRR;1h_radar;hydroRR;1h_hydro;1h_basin_radar;2h_basin_radar;3h_basin_radar;24h_basin_radar;1h_basin_hydro;2h_basin_hydro;3h_basin_hydro;24h_basin_hydro;flood
2018-05-19 12:30:00;-23.85;-46.59;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;5.82;0.0
2018-05-19 12:30:00;-23.84;-47.01;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.1;0.0
2018-05-19 12:30:00;-23.84;-47.0;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.14;0.0
2018-05-19 12:30:00;-23.84;-46.82;0.0;1.0;3.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.0;0.0
2018-05-19 12:30:00;-23.84;-46.73;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.9;0.0
2018-05-19 12:30:00;-23.84;-46.71;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;3.21;0.0
2018-05-19 12:30:00;-23.84;-46.7;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;3.21;0.0
2018-05-19 12:30:00;-23.84;-46.49;0.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;7.62;0.0
2018-05-19 12:30:00;-23.83;-46.75;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.9;0.0
2018-05-19 12:30:00;-23.83;-46.74;1.0;0.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.9;0.0
2018-05-19 12:30:00;-23.83;-46.52;1.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;21.31;0.0
2018-05-19 12:30:00;-23.83;-46.47;0.0;2.0;2.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;21.31;0.0
2018-05-19 12:30:00;-23.82;-46.97;0.0;1.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;0.14;0.0
2018-05-19 12:30:00;-23.82;-46.96;0.0;0.0;1.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;1.11;0.0
2018-05-19 12:30:00;-23.82;-46.95;0.0;1.0;0.0;-99;-99;0.0;0.0;-99;-99;-99;-99;0.0;0.0;0.0;1.11;0.0
